subjectROR	subjectLabel	predicate	predicateLabel	objectROR	objectLabel
05egrn753	Institute for Environment and Human Security	P361	part of	040aqvh16	United Nations University
006gmme17	United States Air Force	P527	has part(s)	03sbefh90	
008xxew50	Vrije Universiteit Amsterdam	P527	has part(s)	00q6h8f30	Amsterdam UMC Location VUmc
05p85rs79	Ohio Department of Natural Resources	P527	has part(s)	035cp7g76	
04eg5s337	Mediterranean Universities Union	P527	has part(s)	04njjy449	University of Granada
00zy6vr46		P361	part of	052qegn86	
02erz7116	Gakushūin School Corporation	P527	has part(s)	01fk7f614	
04ygf3832	Whitworth Hospital	P361	part of	02wnqcb97	National Health Service
04bk3z010		P361	part of	03rqcfv80	Canadian Armed Forces
01p19k166	Royal Victoria Infirmary	P361	part of	02wnqcb97	National Health Service
02ajrkx50	St. Luke's Hospital	P361	part of	02wnqcb97	National Health Service
02at7qq57		P361	part of	02qsmb048	University of Belgrade
04ehq7g28	Clark County School District	P527	has part(s)	021mk5n73	Bonanza High School
00jjeh629	Harvard–MIT Division of Health Sciences and Technology	P361	part of	03vek6s52	Harvard University
00xv9sn23	Martin-Luther-Krankenhaus	P361	part of	02v2egw15	Diakonie Deutschland
00c4zhw53	Open Group	P527	has part(s)	05a7rhx54	Ericsson (Sweden)
04dese585	Indian Institute of Science Bangalore	P361	part of	048xjjh50	Ministry of Human Resource Development
05b1f6q13		P361	part of	04vdm6x24	Senatsverwaltung für Gesundheit, Pflege und Gleichstellung
05kxdq627		P527	has part(s)	05ettq389	
04abkkz03	International Centre for Advanced Mediterranean Agronomic Studies	P527	has part(s)	01pbz7c04	Mediterranean Agronomic Institute of Chania
00cepga67	Lambeth Hospital	P361	part of	02wnqcb97	National Health Service
